Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-06-03;13:51:53;10,00;"GASOLEO A";6,498;4;2026086449
2026-06-03;13:53:18;30,00;"GASOLEO A";19,493;2;2026086450
2026-06-03;13:53:45;10,00;"GASOLEO A";6,498;1;2026086451
2026-06-03;13:55:50;15,00;"GASOLEO A";9,747;3;2026006473
2026-06-03;13:56:55;20,00;"GASOLEO A";12,995;4;2026086453
2026-06-03;13:59:11;11,50;"SIN PLOMO 95";8,679;2;2026086454
2026-06-03;14:02:59;10,00;"SIN PLOMO 95";7,547;4;2026006474
2026-06-03;14:03:41;40,00;"SIN PLOMO 95";30,189;3;2026086455
2026-06-03;14:06:09;6,28;"SIN PLOMO 95";4,740;1;2026086456
2026-06-03;14:06:43;20,00;"GASOLEO A";12,995;4;2026086457
2026-06-03;14:08:06;20,00;"GASOLEO A";12,995;2;2026086458
2026-06-03;14:10:39;20,00;"GASOLEO A";12,995;2;2026086460
2026-06-03;14:11:16;30,00;"GASOLEO A";19,493;4;2026086461
2026-06-03;14:16:47;50,00;"GASOLEO A";32,489;2;2026086462
2026-06-03;14:17:25;50,00;"GASOLEO A";32,489;4;2026086463
2026-06-03;14:20:41;20,00;"GASOLEO A";12,995;2;2026086464
2026-06-03;14:25:04;7,80;"SIN PLOMO 95";5,887;3;2026006475
2026-06-03;14:26:25;75,73;"GASOLEO A";49,207;1;2026006476
2026-06-03;14:27:35;50,00;"GASOLEO A";32,489;2;2026086467
2026-06-03;14:28:34;40,00;"GASOLEO A";25,991;4;2026086469
2026-06-03;14:29:06;30,00;"GASOLEO A";19,493;1;2026006477
2026-06-03;14:30:01;5,00;"SIN PLOMO 95";3,774;3;2026086471
2026-06-03;14:32:12;-5,00;"SIN PLOMO 95";-3,774;3;2026086472
2026-06-03;14:32:18;5,00;"GASOLEO A";3,249;3;2026086473
2026-06-03;14:32:54;10,00;"GASOLEO A";6,498;2;2026086474
2026-06-03;14:34:19;5,00;"SIN PLOMO 95";3,774;1;2026086475
2026-06-03;14:36:26;20,00;"GASOLEO A";12,995;3;2026086476
2026-06-03;14:36:55;30,00;"GASOLEO A";19,493;1;2026086477
2026-06-03;14:39:05;50,00;"GASOLEO A";32,489;4;2026086478
2026-06-03;14:39:39;30,00;"GASOLEO A";19,493;2;2026086479
2026-06-03;14:42:46;10,00;"SIN PLOMO 95";7,547;4;2026086481
2026-06-03;14:43:10;20,00;"GASOLEO A";12,995;2;2026086482
2026-06-03;14:45:16;30,00;"GASOLEO A";19,493;4;2026086483
2026-06-03;14:45:39;20,00;"GASOLEO A";12,995;2;2026086484
2026-06-03;14:47:05;106,07;"GASOLEO A";68,921;1;2026086485
2026-06-03;14:47:55;20,00;"GASOLEO A";12,995;3;2026086486
2026-06-03;14:50:17;70,00;"GASOLEO A";45,484;1;2026086487
2026-06-03;14:52:39;10,00;"GASOLEO A";6,498;4;2026086488
2026-06-03;14:54:19;50,00;"GASOLEO A";32,489;3;2026086489
2026-06-03;14:55:23;20,00;"GASOLEO A";12,995;1;2026086490
